Code;Strand;Goal Short Name;Goal;Objective;Core Keywords;Elective Keywords;Core Rubric Level;UI/UX;Frontend;Backend;Game Design;Game Development;Business/Entrepreneurship;Project/Product Manager
BUS01;App Business and Marketing;App Business;Learn about monetization and business decisions that need to be made when planning the development of an app.;I can measure an app's performance to get unique insight using App Analytics, Sales and Trends, and Payments and Financial Reports.;;Analytics, Sales, Trends, Payments, Financial Reports;;0;0;0;Exemplary;Progressing;Exemplary;Proficient
BUS02;App Business and Marketing;App Business;Learn about monetization and business decisions that need to be made when planning the development of an app.;I can describe the Value Proposition for an app;;Value Proposition;;Proficient;0;0;Exemplary;0;Exemplary;Exemplary
BUS03;App Business and Marketing;App Business;Learn about monetization and business decisions that need to be made when planning the development of an app.;I can describe the features and benefits of the free model and know when it is appropriate to use it.;free model;;Progressing;0;0;0;Exemplary;Progressing;Exemplary;Proficient
BUS04;App Business and Marketing;App Business;Learn about monetization and business decisions that need to be made when planning the development of an app.;I can describe the features and benefits of the freemium model and know when it is appropriate to use it.;freemium;;Progressing;0;0;0;Exemplary;Progressing;Exemplary;Proficient
BUS05;App Business and Marketing;App Business;Learn about monetization and business decisions that need to be made when planning the development of an app.;I can describe the different types of in-app purchases.;In-app purchases;;Progressing;0;0;0;Exemplary;Progressing;Exemplary;Proficient
BUS06;App Business and Marketing;App Business;Learn about monetization and business decisions that need to be made when planning the development of an app.;I can describe the features and benefits of the subscription model and know when it is appropriate to use it.;Subscription model;;Progressing;0;0;0;Exemplary;Progressing;Exemplary;Proficient
BUS07;App Business and Marketing;App Business;Learn about monetization and business decisions that need to be made when planning the development of an app.;I can describe the features and the benefits of the paid model and know when it is appropriate to use it.;Paid model;;Progressing;0;0;0;Exemplary;Progressing;Exemplary;Proficient
BUS08;App Business and Marketing;App Business;Learn about monetization and business decisions that need to be made when planning the development of an app.;I can describe when it is appropriate to offer app bundles and understand how to do it.;App bundles;;Progressing;0;0;0;0;0;Exemplary;Proficient
BUS09;App Business and Marketing;App Business;Learn about monetization and business decisions that need to be made when planning the development of an app.;I can describe the features and benefits of the Paymium model and know when it is appropriate to use it.;Paymium model;;Progressing;0;0;0;Exemplary;Progressing;Exemplary;Proficient
BUS10;App Business and Marketing;App Marketing;Learn how to effectively market an app on the store.;I can use app Analytics to track, test, and quickly iterate on marketing initiatives to increase downloads and attract users.;;App analytics, marketing initiatives;;0;0;0;Progressing;0;Proficient;Progressing
BUS11;App Business and Marketing;App Marketing;Learn how to effectively market an app on the store.;I can understand how to efficiently help people discover your app with Apple Search Ads;;Apple Search ads;;0;0;0;Progressing;0;Progressing;Progressing
BUS12;App Business and Marketing;App Marketing;Learn how to effectively market an app on the store.;I can understand how to implement and Promote Apps with Safari Smart App Banners;;App banners;;0;0;0;Progressing;0;Progressing;Progressing
BUS13;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;"I’m aware of the trends in the global App market and I can describe the opportunities that the market provides for me.";;App Market, App Economy;;Beginning;0;0;Exemplary;0;Proficient;Progressing
BUS14;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can describe the concepts of entrepreneurship and social entrepreneurship.;;Concepts;;Beginning;0;0;0;0;Proficient;Progressing
BUS15;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can identify key factors and characteristics creating opportunities for entrepreneurship.;;Characterisitics;;0;0;0;0;0;Proficient;Progressing
BUS16;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can critically evaluate underpinning concepts of ‘triple bottom line’ and its implications on the establishment and successful management of social enterprises;;Triple Bottom Line;;0;0;0;0;0;Proficient;Beginner
BUS17;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can identify the best solution focus on sustainable social and economic value creation;;Social;;0;0;0;0;0;Proficient;Progressing
BUS18;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can describe the main features of a business model.;;Business Model Canvas;;Progressing;0;0;0;0;Proficient;Progressing
BUS19;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can explain the main features of a value proposition and a unique selling proposition;;Value Proposition;;Progressing;0;0;Exemplary;0;Exemplary;Proficient
BUS20;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I understand the Minimum Viable Product MPV role in developing a business.;;Minimum Viable Product;;Proficient;0;0;Proficient;0;Exemplary;Progressing
BUS21;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can describe the key factors leading to the creation and development of a business/start up;;Startups;;0;0;0;0;0;Proficient;Progressing
BUS22;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can describe the key factors of an effective market analysis.;;Market analysis;;Beginning;0;0;Proficient;0;Proficient;Progressing
BUS23;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can apply coherent and strategic methods and tools to validate a business idea;;Idea Valuation;;Proficient;0;0;Proficient;0;Exemplary;Progressing
