Code;Strand;Goal Short Name;Objective;Core Rubric Level;UI/UX Path level;Frontend Path;Backend Path;Game Path;PM/Buiness
BUS01;App Business and Marketing;App Business;I can measure an app's performance to get unique insight using App Analytics,  Sales and Trends,  and Payments and Financial Reports.;;;;;Progressing;Progressing
BUS02;App Business and Marketing;App Business;I can describe the Value Proposition for an app;;Proficient;;;;Proficient
BUS03;App Business and Marketing;App Business;I can describe the features and benefits of the free model and know when it is appropriate to use it.;Progressing;;;;Progressing;Proficient
BUS04;App Business and Marketing;App Business;I can describe the features and benefits of the freemium model and know when it is appropriate to use it.;Progressing;;;;Progressing;Proficient
BUS05;App Business and Marketing;App Business;I can describe the different types of in-app purchases.;Progressing;;;;Progressing;Proficient
BUS06;App Business and Marketing;App Business;I can describe the features and benefits of the subscription model and know when it is appropriate to use it.;Progressing;;;;Progressing;Proficient
BUS07;App Business and Marketing;App Business;I can describe the features and the benefits of the paid model and know when it is appropriate to use it.;Progressing;;;;Progressing;Proficient
BUS08;App Business and Marketing;App Business;I can describe when it is appropriate to offer app bundles and understand how to do it.;Progressing;;;;;Proficient
BUS09;App Business and Marketing;App Business;I can describe the features and benefits of the Paymium model and know when it is appropriate to use it.;Progressing;;;;Progressing;Proficient
BUS10;App Business and Marketing;App Marketing;I can use app Analytics to track,  test,  and quickly iterate on marketing initiatives to increase downloads and attract users.;;;;;;Progressing
BUS11;App Business and Marketing;App Marketing;I can understand how to efficiently help people discover your app with Apple Search Ads;;;;;;Progressing
BUS12;App Business and Marketing;App Marketing;I can understand how to implement and Promote Apps with Safari Smart App Banners;;;;;;Progressing
BUS13;App Business and Marketing;Entrepreneurship;"I’m aware of the trends in the global App market and I can describe the opportunities that the market provides for me.";;;;;;Progressing
BUS14;App Business and Marketing;Entrepreneurship;I can describe the concepts of  entrepreneurship and social entrepreneurship.;;;;;;Progressing
BUS15;App Business and Marketing;Entrepreneurship;I can identify key factors and characteristics creating opportunities for entrepreneurship.;;;;;;Progressing
BUS16;App Business and Marketing;Entrepreneurship;I can critically evaluate underpinning concepts of ‘triple bottom line’ and its implications on the establishment and successful management of social enterprises;;;;;;Beginner
BUS17;App Business and Marketing;Entrepreneurship;I can identify the  best solution focus on sustainable social and economic value creation;;;;;;Progressing
