Code;Strand;Goal;Goal Short Name;Objective;Core Keywords;Elective Keywords;Core Rubric Level;Frontend Path;Backend Path
BUS01;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can measure an app's performance to get unique insight using App Analytics,  Sales and Trends,  and Payments and Financial Reports.;;Analytics,  Sales,  Trends,  Payments,  Financial Reports;;;
BUS02;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe the Value Proposition for an app;;Value Proposition;;;
BUS03;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe the features and benefits of the free model and know when it is appropriate to use it.;free model;;Progressing;;
BUS04;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe the features and benefits of the freemium model and know when it is appropriate to use it.;freemium;;Progressing;;
BUS05;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe the different types of in-app purchases.;In-app purchases;;Progressing;;
BUS06;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe the features and benefits of the subscription model and know when it is appropriate to use it.;Subscription model;;Progressing;;
BUS07;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe the features and the benefits of the paid model and know when it is appropriate to use it.;Paid model;;Progressing;;
BUS08;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe when it is appropriate to offer app bundles and understand how to do it.;App bundles;;Progressing;;
BUS09;App Business and Marketing;Learn about monetization and business decisions that need to be made when planning the development of an app.;App Business;I can describe the features and benefits of the Paymium model and know when it is appropriate to use it.;Paymium model;;Progressing;;
BUS10;App Business and Marketing;Learn how to effectively market an app on the store.;App Marketing;I can use app Analytics to track,  test,  and quickly iterate on marketing initiatives to increase downloads and attract users.;;App analytics, marketing initiatives;;;
BUS11;App Business and Marketing;Learn how to effectively market an app on the store.;App Marketing;I can understand how to efficiently help people discover your app with Apple Search Ads;;Apple Search ads;;;
BUS12;App Business and Marketing;Learn how to effectively market an app on the store.;App Marketing;I can understand how to implement and Promote Apps with Safari Smart App Banners;;App banners;;;
BUS13;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;"I’m aware of the trends in the global App market and I can describe the opportunities that the market provides for me.";;App Market,  App Economy;;;
BUS14;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can describe the concepts of  entrepreneurship and social entrepreneurship.;;Concepts;;;
BUS15;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can identify key factors and characteristics creating opportunities for entrepreneurship.;;Characterisitics;;;
BUS16;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can critically evaluate underpinning concepts of ‘triple bottom line’ and its implications on the establishment and successful management of social enterprises;;Triple Bottom Line;;;
BUS17;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can identify the  best solution focus on sustainable social and economic value creation;;Social;;;
BUS18;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can describe the main features of a business model.;;Business Model Canvas;;;
BUS19;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can explain the main features of a value proposition and a unique selling proposition;;Value Proposition;;;
BUS20;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I understand the Minimum Viable Product MPV role in developing a business.;;Minimum Viable Product;;;
BUS21;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can describe the key factors leading to the creation and development of a business/start up;;Startups;;;
BUS22;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can describe the key factors of an effective market analysis.;;Market analysis;;;
