Code;New Code;Strand;Goal;Goal Short Name;Objective;Keywords;Challenge;Core / Elective;Progressing;Backend;Business;Design;Frontend;Game Design;Game Developer;Project Management
DES01;DSG-01-001;Design;Learn to design with accessibility in mind for all users.;Accessibility;I can design dynamic and accessible typographic hierarchy experiences, effectively audit and test an app for accessibility and provide closed captions and audio descriptions for video content and alternate descriptions and text for all images and infographics in an app. ;Accessibility, Accessibility, Typography, Accessibility type,  Dynamic type, Audit, Closed caption, alternate descriptions;NC2;Core;Progressing;;;Proficient;Exemplary;;;
DES02;DSG-01-002;Design;Learn to design with accessibility in mind for all users.;Accessibility;I can design apps with sufficient contrast ratios and color schemes tested for the different types of color blindness.;Accessibility, Contrast ratios, Color schemes, Color blindness;NC2, NCX;Core;Progressing;;;Proficient;Exemplary;Beginning;Beginning;
DES03;DSG-01-003;Design;Learn to design with accessibility in mind for all users.;Accessibility;I can design an app: with VoiceOver support for every onscreen element, with consistent and accessible gestures, haptics, buttons and controls and with support for Reduce Transparency and Reduce Motion accessibility settings.;Accessibility, Design VoiceOver, Controls, Reduce transparency, ;NC2;Core;Progressing;;;Progressing;Proficient;;;
DES04;DSG-02-001;Design;Learn to design brand identity and marketing materials for apps.;Branding;I can create and maintain App Store assets previews,  screenshots, description, promotional text and keywords for my apps.;Branding, Assets, Previews,  Screenshots, Description,  Promotional Text, Keywords, App Store;MC1, MC3, NC2;Core;Progressing;;;Proficient;;Proficient;Proficient;
DES05;DSG-02-002;Design;Learn to design brand identity and marketing materials for apps.;Branding;I can conduct visual research to define the visual style of a project.;Branding, Visual Research, Style;MC3, NCX;Core;Progressing;;;Proficient;;;;
DES06;DSG-02-003;Design;Learn to design brand identity and marketing materials for apps.;Design fundamentals;I can create a Design System including documentation, UI elements and other components.;Branding, design system buttons, design system UI elements, documentation;MC, NCX;Core;Progressing;;;Exemplary;;;;
DES07;DSG-02-004;Design;Learn to design brand identity and marketing materials for apps.;Branding;I can design branding guidelines for a variety of marketing materials.;Branding, Marketing materials, branding, guidelines;MC3, NCX;;;;;Exemplary;;Beginning;Beginning;
DES08;DSG-02-005;Design;Learn to design brand identity and marketing materials for apps.;Branding;I can create a UI Style Guide including typography scheme and color palette.;Branding, UI Style Guide;MC1;Core;Progressing;;;Exemplary;;;;
DES09;DSG-03-001;Design;Learn to apply the fundamental elements of Visual and Communication design to App Development.;Design fundamentals;I can effectively apply the principles of hierarchy,  alignment, white space and contrast to visual layouts.;Design Fundamentals, Hierarchy, White Space, Contrast, Alignment ;MC1, NC2;Core;Progressing;;;Exemplary;;;;
DES10;DSG-03-002;Design;Learn to apply the fundamental elements of Visual and Communication design to App Development.;Design fundamentals;I can effectively apply color theory and color spaces to create well balanced color palettes.;Design fundamentals, Color Theory, Color Spaces, Color Palettes ;MC1, NC2, NCX;Core;Progressing;;;Exemplary;;Progressing;Progressing;
DES11;DSG-03-003;Design;Learn to apply the fundamental elements of Visual and Communication design to App Development.;Design fundamentals;I can effectively apply the principles of Gestalt theory to design visual layouts.;Design Fundamentals, Gestalt Theory, Visual Layouts;MC1;Core;Progressing;;;Exemplary;;;;
DES12;DSG-03-004;Design;Learn to apply the fundamental elements of Visual and Communication design to App Development.;Design fundamentals;I can create and export visual assets in the appropriate format raster resolution, vector and file type according to the project needs and export properly sized images to support all devices.;Design Fundamentals, Image Formats,File Type, Raster, Vector, Resolution, Image Size ;MC1, MC3;Core;Progressing;;;Exemplary;;Proficient;Proficient;
DES13;DSG-03-005;Design;Learn to apply the fundamental elements of Visual and Communication design to App Development.;Design fundamentals;I can apply the fundamental principles of design and typography to create clear and usable hierarchy using type: emphasizing important information and prioritizing content when users change text size.;Design Fundamentals, Typography, Hierarchy, Usability,  Prioritising Content, Dynamic Type, Accessibility Type ;MC1, NC2, NCX;Core;Progressing;;;Exemplary;;;;
DES14;DSG-03-006;Design;Learn to apply the fundamental elements of Visual and Communication design to App Development.;Design fundamentals;I can effectively apply color theory principles and color wheel theory to create color schemes.;Design Fundamentals, Color Theory, Color Wheel, Color Schemes;MC1, NC2;Core;Progressing;;;Exemplary;;;;
DES15;DSG-03-007;Design;Learn to apply the fundamental elements of Visual and Communication design to App Development.;Design fundamentals;I can demonstrate the difference between Readability and Legibility.;Design Fundamentals, Readability, Legibility;MC1;Core;Progressing;;;Proficient;;;;
DES16;DSG-04-001;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I can describe the design differences between: an app versus game and the differences of using gamification versus creating a game.;Game Design, Art Direction, Game, Gamification;MC2, NCX;Core;Progressing;;;Proficient;;Exemplary;Exemplary;
DES17;DSG-04-002;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I can develop a Creative Direction document with an output of a Scenario Script and Concept Art.;Game Design, Art Direction, Creative Direction Document, Scenario Script;NCX;;;;;;;Exemplary;Progressing;
DES18;DSG-04-003;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I can create appropriate game assets such as GUI, 2D Sprites, 3D Models and etc.;Game Design, Art Direction, Game Assets, GUI, 2D Sprites, 3D Models;;;;;;;;Exemplary;Proficient;
